Count;min;max;total;avg;funktion
1;0,009284;0,009284;0,009284;0,009284;class vwg.omd.nw2.web.jsf.model.layout.NewadaPageDefaultModel NewadaPageDefaultModel.getBodyClassAttrValue()
24;0,000652;0,103736;0,221016;0,009209;class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getBooleanPropertyValue(..)
3;0,002922;0,006745;0,012835;0,004278;class vwg.omd.nw2.web.mis.enums.MisReportTypeController MisReportTypeController.getMisReportTypes()
2;0,000111;0,000355;0,000466;0,000233;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getVwcStat()
1;0,000034;0,000034;0,000034;0,000034;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getUserLanguage()
1;0,019280;0,019280;0,019280;0,019280;class vwg.omd.nw2.web.mis.gui.MISBeanData MISBeanData.getDealerOrDistrictString()
2;0,000003;0,000031;0,000034;0,000017;class vwg.omd.nw2.web.jsf.model.layout.ScriptAndStyleResourceUrlDefaultModel ScriptAndStyleResourceUrlDefaultModel.getJsCompilerUrls()
2;0,000114;0,000266;0,000380;0,000190;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getAuthToken()
2;0,030462;0,122387;0,152849;0,076424;class vwg.omd.nw2.services.xml.transformer.impl.XmlTransformerImpl XmlTransformerImpl.transformXml(..)
2;0,000203;0,000551;0,000754;0,000377;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getContextPath()
1;0,037405;0,037405;0,037405;0,037405;class vwg.omd.nw2.web.jsf.model.layout.AreaSubnavDefaultModel AreaSubnavDefaultModel.getUserDataPageUrl()
2;0,000116;0,000355;0,000471;0,000236;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getTenantId()
1;0,000028;0,000028;0,000028;0,000028;class vwg.omd.nw2.web.jsf.model.layout.AreaSubnavDefaultModel AreaSubnavDefaultModel.getTimeOnServerString()
1;0,031688;0,031688;0,031688;0,031688;class vwg.omd.nw2.web.jsf.model.layout.AreaSubnavDefaultModel AreaSubnavDefaultModel.getStartPageUrl()
7;0,000853;0,002649;0,010057;0,001437;class vwg.omd.nw2.services.logging.impl.LoggingServiceImpl LoggingServiceImpl.info(..)
16;0,000002;0,000027;0,000074;0,000005;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getAuthToken()
4;0,006933;0,050001;0,074632;0,018658;class vwg.omd.nw2.services.authorization.impl.NbsBerechtigungsabfrageHttpInvokerProxyConfiguration$$EnhancerByCGLIB$$b482a73b NbsBerechtigungsabfrageHttpInvokerProxyConfiguration.berechtigungsabfrageRemoteServiceProxy()
76;0,000956;0,102123;0,905076;0,011909;class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getStringPropertyValue(..)
5;0,000002;0,000028;0,000041;0,000008;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getClientAppName()
97;0,000022;0,000084;0,003435;0,000035;class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.insertNullValueIntoCache(..)
58;0,000738;0,001931;0,065383;0,001127;class vwg.omd.nw2.services.logging.impl.LoggingServiceImpl LoggingServiceImpl.debug(..)
2;0,000115;0,925757;0,925872;0,462936;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNaviServiceBackingBeanImpl DefaultNaviServiceBackingBeanImpl.getFooter()
1;0,000027;0,000027;0,000027;0,000027;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getAuthorizedPages()
