[Profiler] | 0,000364 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.525 | 19.02.2014 16:53:37.526
[Profiler] | 0,002453 |vwg.omd.nw2 | class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getStringPropertyValue(..) | 19.02.2014 16:53:37.524 | 19.02.2014 16:53:37.526
[Profiler] | 0,000032 |vwg.omd.nw2 | class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.setUserDataModel(..) | 19.02.2014 16:53:37.636 | 19.02.2014 16:53:37.636
[Profiler] | 0,000029 |vwg.omd.nw2 | class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.setUserDataInitialized(..) | 19.02.2014 16:53:37.637 | 19.02.2014 16:53:37.637
[Profiler] | 0,008695 |vwg.omd.nw2 | class vwg.omd.nw2.services.userdata.impl.init.UserDataServiceImpl UserDataServiceImpl.createUserData(..) | 19.02.2014 16:53:37.628 | 19.02.2014 16:53:37.637
[Profiler] | 0,113751 |vwg.omd.nw2 | class vwg.omd.nw2.services.dealerportal.DealerPortalServiceImpl DealerPortalServiceImpl.getDealerPortalUserData(..) | 19.02.2014 16:53:37.523 | 19.02.2014 16:53:37.637
[Profiler] | 0,000058 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setAuthenticated(..) | 19.02.2014 16:53:37.638 | 19.02.2014 16:53:37.638
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.isTraining() | 19.02.2014 16:53:37.638 | 19.02.2014 16:53:37.638
[Profiler] | 0,000062 |vwg.omd.nw2 | class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getTenant() | 19.02.2014 16:53:37.638 | 19.02.2014 16:53:37.638
[Profiler] | 0,000049 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.setTenant(..) | 19.02.2014 16:53:37.639 | 19.02.2014 16:53:37.639
[Profiler] | 0,000003 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getAuthToken() | 19.02.2014 16:53:37.639 | 19.02.2014 16:53:37.639
[Profiler] | 0,000003 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.639 | 19.02.2014 16:53:37.639
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.640 | 19.02.2014 16:53:37.640
[Profiler] | 0,000046 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.640 | 19.02.2014 16:53:37.640
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.640 | 19.02.2014 16:53:37.640
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.640 | 19.02.2014 16:53:37.640
[Profiler] | 0,000043 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.641 | 19.02.2014 16:53:37.641
[Profiler] | 0,001634 |vwg.omd.nw2 | class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getStringPropertyValueForDefaultTenant(..) | 19.02.2014 16:53:37.639 | 19.02.2014 16:53:37.641
[Profiler] | 0,002649 |vwg.omd.nw2 | class vwg.omd.nw2.services.logging.impl.LoggingServiceImpl LoggingServiceImpl.info(..) | 19.02.2014 16:53:37.639 | 19.02.2014 16:53:37.642
[Profiler] | 0,000030 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setEffectiveTenant(..) | 19.02.2014 16:53:37.642 | 19.02.2014 16:53:37.642
[Profiler] | 0,000005 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.650 | 19.02.2014 16:53:37.650
[Profiler] | 0,000010 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.650 | 19.02.2014 16:53:37.651
[Profiler] | 0,000007 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.651 | 19.02.2014 16:53:37.651
[Profiler] | 0,000108 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.651 | 19.02.2014 16:53:37.651
[Profiler] | 0,000006 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.652 | 19.02.2014 16:53:37.652
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.652 | 19.02.2014 16:53:37.652
[Profiler] | 0,000006 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.652 | 19.02.2014 16:53:37.652
[Profiler] | 0,000011 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.readProperty(..) | 19.02.2014 16:53:37.653 | 19.02.2014 16:53:37.653
[Profiler] | 0,000575 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.652 | 19.02.2014 16:53:37.653
[Profiler] | 0,000006 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.653 | 19.02.2014 16:53:37.653
[Profiler] | 0,000005 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.654 | 19.02.2014 16:53:37.654
[Profiler] | 0,000005 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.654 | 19.02.2014 16:53:37.654
[Profiler] | 0,000101 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.654 | 19.02.2014 16:53:37.654
[Profiler] | 0,000005 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.655 | 19.02.2014 16:53:37.655
[Profiler] | 0,000006 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.655 | 19.02.2014 16:53:37.655
[Profiler] | 0,000006 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.655 | 19.02.2014 16:53:37.655
[Profiler] | 0,000009 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.readProperty(..) | 19.02.2014 16:53:37.656 | 19.02.2014 16:53:37.656
[Profiler] | 0,000348 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.656 | 19.02.2014 16:53:37.656
[Profiler] | 0,006289 |vwg.omd.nw2 | class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getBooleanPropertyValue(..) | 19.02.2014 16:53:37.650 | 19.02.2014 16:53:37.656
[Profiler] | 0,000033 |vwg.omd.nw2 | class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getUserId() | 19.02.2014 16:53:37.661 | 19.02.2014 16:53:37.661
[Profiler] | 0,000003 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.662 | 19.02.2014 16:53:37.662
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.662 | 19.02.2014 16:53:37.662
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.662 | 19.02.2014 16:53:37.662
[Profiler] | 0,000073 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.663 | 19.02.2014 16:53:37.663
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.663 | 19.02.2014 16:53:37.663
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.663 | 19.02.2014 16:53:37.663
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.663 | 19.02.2014 16:53:37.663
[Profiler] | 0,000005 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.691 | 19.02.2014 16:53:37.691
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.getTenant() | 19.02.2014 16:53:37.692 | 19.02.2014 16:53:37.692
